experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
50,1650,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.036684,0.020736,-0.077328,0.003959,0.033584,True
51,1663,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.072339,0.020804,-0.113115,-0.031564,-0.002071,True
52,1676,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.033119,0.021804,-0.075855,0.009617,0.037149,True
53,1689,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.028453,0.020705,-0.069034,0.012129,0.041815,False
54,1702,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.008675,0.021339,-0.0505,0.03315,0.061593,False
55,1715,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.002032,0.021957,-0.045069,0.041004,0.068235,False
56,1728,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.016328,0.021707,-0.058874,0.026219,0.05394,False
57,1741,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.07554,0.019791,-0.11433,-0.036751,-0.005273,True
58,1754,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.047854,0.022097,-0.091165,-0.004544,0.022413,True
59,1767,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.048478,0.020682,-0.089016,-0.00794,0.02179,True
60,1780,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.026216,0.021301,-0.067966,0.015534,0.044051,False
61,1793,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.025148,0.022098,-0.06846,0.018164,0.045119,False
62,1806,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.031615,0.020882,-0.072542,0.009313,0.038653,True
63,1819,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.052194,0.021927,-0.095171,-0.009216,0.018074,True
64,1832,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.005384,0.021985,-0.037708,0.048475,0.075651,False
65,1845,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.030511,0.022015,-0.07366,0.012638,0.039757,True
66,1858,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.063873,0.020718,-0.104479,-0.023266,0.006395,True
67,1871,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040202,0.020324,-0.080037,-0.000367,0.030066,True
