window_size,kernel_sizes,hidden_mult,lr,epochs,batch_size,l1_lambda,h_lambda,threshold,SHD_mean,SHD_std,TPR_mean,TPR_std,FDR_mean,FDR_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,TP_mean,TP_std,FP_mean,FP_std,FN_mean,FN_std,TN_mean,TN_std
10,"[2, 4, 8, 10]",8,0.005,30,64,0.001,0.5,0.1,43.333333333333336,5.557777333511022,0.4903914464336459,0.04326566437508799,0.43492063492063493,0.04605910516999018,0.5650793650793652,0.04605910516999018,0.4903914464336459,0.04326566437508799,0.5230851398392851,0.03220137898122759,23.666666666666668,1.8856180831641267,18.666666666666668,4.642796092394707,24.666666666666668,2.6246692913372702,333.0,6.377042156569663
10,"[3, 5, 10]",8,0.005,30,64,0.001,0.5,0.1,43.666666666666664,5.185449728701348,0.47691105427678315,0.051963311647006086,0.4356060606060606,0.05110127864860622,0.5643939393939394,0.05110127864860622,0.47691105427678315,0.051963311647006086,0.5134680134680135,0.030396414284962616,23.0,2.160246899469287,18.333333333333332,4.9216076867444665,25.333333333333332,3.0912061651652345,333.3333333333333,6.236095644623236
10,"[3, 5, 10]",8,0.01,30,64,0.001,0.5,0.1,48.333333333333336,9.741092797468305,0.469664677465189,0.04290062454769192,0.4868140868140867,0.0960737881435738,0.5131859131859132,0.09607378814357385,0.469664677465189,0.04290062454769192,0.4886420167956485,0.06383377757503758,22.666666666666668,1.8856180831641267,22.666666666666668,7.408703590297623,25.666666666666668,2.6246692913372702,329.0,9.41629792788369
10,"[2, 4, 8, 10]",8,0.01,30,64,0.001,0.5,0.1,50.666666666666664,8.65383665716478,0.47007317419721506,0.03694553214875813,0.5166598667210662,0.06322794043288868,0.48334013327893377,0.0632279404328887,0.47007317419721506,0.03694553214875813,0.4755967433870056,0.047350549080240764,22.666666666666668,1.247219128924647,25.0,6.48074069840786,25.666666666666668,2.6246692913372702,326.6666666666667,8.498365855987974
10,"[3, 5, 10]",8,0.005,30,64,0.001,0.5,0.1,48.0,3.559026084010437,0.4486359761295822,0.025200313127137736,0.494296545627635,0.01969914210253767,0.505703454372365,0.019699142102537627,0.4486359761295822,0.025200313127137736,0.4747149220627141,0.013908062656294878,21.666666666666668,1.247219128924647,21.333333333333332,2.8674417556808756,26.666666666666668,1.8856180831641267,330.3333333333333,4.4969125210773475
10,"[3, 5, 10]",8,0.01,30,64,0.001,0.5,0.1,50.0,4.546060565661952,0.4635372264847968,0.04123091583938606,0.5177536231884058,0.028132061219274414,0.48224637681159416,0.02813206121927443,0.4635372264847968,0.04123091583938606,0.47259882603501113,0.034870463506160125,22.333333333333332,1.247219128924647,24.0,1.632993161855452,26.0,2.943920288775949,327.6666666666667,3.6817870057290873
10,"[2, 4, 8, 10]",8,0.005,30,64,0.0005,0.5,0.1,63.0,6.97614984548545,0.5744174481386758,0.055209277791484455,0.6037593324549846,0.030573207616993756,0.39624066754501536,0.030573207616993735,0.5744174481386758,0.055209277791484455,0.4688169699611347,0.03907750991021326,27.666666666666668,1.699673171197595,42.333333333333336,4.027681991198191,20.666666666666668,3.39934634239519,309.3333333333333,6.018490028422596
10,"[3, 5, 10]",8,0.005,30,64,0.0005,0.5,0.1,61.0,8.286535263104035,0.5528736857061666,0.06181505297953188,0.5939585169516423,0.0436551734450949,0.4060414830483577,0.043655173445094855,0.5528736857061666,0.06181505297953188,0.46783327670177827,0.04978355000629254,26.666666666666668,2.6246692913372702,39.333333333333336,5.792715732327589,21.666666666666668,3.39934634239519,312.3333333333333,7.845734863959881
10,"[2, 4, 8, 10]",8,0.01,30,64,0.0005,0.5,0.1,68.0,5.656854249492381,0.5948422847399829,0.04289168250528875,0.626986076986077,0.023571079765170845,0.37301392301392305,0.023571079765170873,0.5948422847399829,0.04289168250528875,0.4583333333333333,0.029462782549439466,28.666666666666668,0.9428090415820634,48.333333333333336,3.299831645537222,19.666666666666668,2.8674417556808756,303.3333333333333,4.714045207910317
10,"[3, 5, 10]",8,0.005,30,64,0.0005,0.5,0.1,63.0,5.354126134736337,0.5460358056265985,0.04590537552239612,0.6085858585858586,0.02321310140258866,0.39141414141414144,0.023213101402588684,0.5460358056265985,0.04590537552239612,0.45586527293844364,0.031498377752196556,26.333333333333332,1.699673171197595,41.0,2.943920288775949,22.0,2.8284271247461903,310.6666666666667,4.988876515698588
